Zonas de movilidad,Tipo de dato,Periodo,Total
Total Nacional,Porcentaje de población que sale del área,2021-08-18,16.43
Total Nacional,Porcentaje de población que sale del área,2021-08-15,12.37
Total Nacional,Porcentaje de población que sale del área,2021-11-08,16.72
Total Nacional,Porcentaje de población que sale del área,2021-08-08,12.37
Total Nacional,Porcentaje de población que sale del área,2021-04-08,17.15
Total Nacional,Porcentaje de población que sale del área,2021-01-08,12.77
Total Nacional,Porcentaje de población que sale del área,2021-07-28,18.62
Total Nacional,Porcentaje de población que sale del área,2021-07-25,12.6
Total Nacional,Porcentaje de población que sale del área,2021-07-21,18.96
Total Nacional,Porcentaje de población que sale del área,2021-07-18,12.56
Total Nacional,Porcentaje de población que sale del área,2021-07-14,19.26
Total Nacional,Porcentaje de población que sale del área,2021-11-07,13.22
Total Nacional,Porcentaje de población que sale del área,2021-07-07,19.43
Total Nacional,Porcentaje de población que sale del área,2021-04-07,12.83
Total Nacional,Porcentaje de población que sale del área,2021-06-30,20.19
Total Nacional,Porcentaje de población que sale del área,2021-06-27,13.75
Total Nacional,Porcentaje de población que sale del área,2021-06-23,13.74
Total Nacional,Porcentaje de población que sale del área,2021-06-20,13.19
Total Nacional,Porcentaje de población que sale del área,2021-06-16,20.72
Total Nacional,Porcentaje de población que sale del área,2021-06-13,14.05
Total Nacional,Porcentaje de población que sale del área,2021-09-06,20.65
Total Nacional,Porcentaje de población que sale del área,2021-06-06,13.7
Total Nacional,Porcentaje de población que sale del área,2021-02-06,20.59
Total Nacional,Porcentaje de población que sale del área,2021-05-30,11.31
Total Nacional,Porcentaje de población que sale del área,2021-05-26,18.68
Total Nacional,Porcentaje de población que sale del área,2021-05-23,9.62
Total Nacional,Porcentaje de población que sale del área,2021-05-19,20.65
Total Nacional,Porcentaje de población que sale del área,2021-05-16,13.29
Total Nacional,Porcentaje de población que sale del área,2021-12-05,18.62
Total Nacional,Porcentaje de población que sale del área,2021-09-05,12.48
Total Nacional,Porcentaje de población que sale del área,2021-05-05,20.14
Total Nacional,Porcentaje de población que sale del área,2021-02-05,8.69
Total Nacional,Porcentaje de población que sale del área,2021-04-28,19.46
Total Nacional,Porcentaje de población que sale del área,2021-04-25,8.2
Total Nacional,Porcentaje de población que sale del área,2021-04-21,19.38
Total Nacional,Porcentaje de población que sale del área,2021-04-18,12.16
Total Nacional,Porcentaje de población que sale del área,2021-04-14,20.25
Total Nacional,Porcentaje de población que sale del área,2021-11-04,11.06
Total Nacional,Porcentaje de población que sale del área,2021-07-04,19.77
Total Nacional,Porcentaje de población que sale del área,2021-04-04,12.4
Total Nacional,Porcentaje de población que sale del área,2021-03-31,18.87
Total Nacional,Porcentaje de población que sale del área,2021-03-28,10.96
Total Nacional,Porcentaje de población que sale del área,2021-03-24,20.39
Total Nacional,Porcentaje de población que sale del área,2021-03-21,12.05
Total Nacional,Porcentaje de población que sale del área,2021-03-17,20.78
Total Nacional,Porcentaje de población que sale del área,2021-03-14,12.5
Total Nacional,Porcentaje de población que sale del área,2021-10-03,19.75
Total Nacional,Porcentaje de población que sale del área,2021-07-03,10.26
Total Nacional,Porcentaje de población que sale del área,2021-03-03,19.59
Total Nacional,Porcentaje de población que sale del área,2021-02-28,10.86
Total Nacional,Porcentaje de población que sale del área,2021-02-24,19.0
Total Nacional,Porcentaje de población que sale del área,2021-02-21,9.15
Total Nacional,Porcentaje de población que sale del área,2021-02-17,18.59
Total Nacional,Porcentaje de población que sale del área,2021-02-14,9.61
Total Nacional,Porcentaje de población que sale del área,2021-10-02,17.88
Total Nacional,Porcentaje de población que sale del área,2021-07-02,8.43
Total Nacional,Porcentaje de población que sale del área,2021-03-02,18.26
Total Nacional,Porcentaje de población que sale del área,2021-01-31,8.25
Total Nacional,Porcentaje de población que sale del área,2021-01-27,18.02
Total Nacional,Porcentaje de población que sale del área,2021-01-24,8.35
Total Nacional,Porcentaje de población que sale del área,2021-01-20,17.56
Total Nacional,Porcentaje de población que sale del área,2021-01-17,8.98
Total Nacional,Porcentaje de población que sale del área,2021-01-13,14.5
Total Nacional,Porcentaje de población que sale del área,2021-10-01,7.72
Total Nacional,Porcentaje de población que sale del área,2021-06-01,10.3
Total Nacional,Porcentaje de población que sale del área,2021-03-01,10.02
Total Nacional,Porcentaje de población que sale del área,2020-12-30,17.65
Total Nacional,Porcentaje de población que sale del área,2020-12-27,11.81
Total Nacional,Porcentaje de población que sale del área,2020-12-23,19.36
Total Nacional,Porcentaje de población que sale del área,2020-12-20,12.51
Total Nacional,Porcentaje de población que sale del área,2020-12-16,20.35
Total Nacional,Porcentaje de población que sale del área,2020-12-13,12.33
Total Nacional,Porcentaje de población que sale del área,2020-09-12,19.49
Total Nacional,Porcentaje de población que sale del área,2020-06-12,11.34
Total Nacional,Porcentaje de población que sale del área,2020-02-12,20.22
Total Nacional,Porcentaje de población que sale del área,2020-11-29,11.16
Total Nacional,Porcentaje de población que sale del área,2020-11-25,19.9
Total Nacional,Porcentaje de población que sale del área,2020-11-22,11.16
Total Nacional,Porcentaje de población que sale del área,2020-11-18,20.04
Total Nacional,Porcentaje de población que sale del área,2020-11-15,10.22
Total Nacional,Porcentaje de población que sale del área,2020-11-11,18.79
Total Nacional,Porcentaje de población que sale del área,2020-08-11,10.5
Total Nacional,Porcentaje de población que sale del área,2020-04-11,19.88
Total Nacional,Porcentaje de población que sale del área,2020-01-11,11.78
Total Nacional,Porcentaje de población que sale del área,2020-10-28,20.63
Total Nacional,Porcentaje de población que sale del área,2020-10-25,13.06
Total Nacional,Porcentaje de población que sale del área,2020-10-21,20.71
Total Nacional,Porcentaje de población que sale del área,2020-10-18,13.23
Total Nacional,Porcentaje de población que sale del área,2020-10-14,21.31
Total Nacional,Porcentaje de población que sale del área,2020-11-10,14.02
Total Nacional,Porcentaje de población que sale del área,2020-07-10,21.44
Total Nacional,Porcentaje de población que sale del área,2020-04-10,13.02
Total Nacional,Porcentaje de población que sale del área,2020-09-30,18.25
Total Nacional,Porcentaje de población que sale del área,2020-09-27,11.47
Total Nacional,Porcentaje de población que sale del área,2020-09-23,21.57
Total Nacional,Porcentaje de población que sale del área,2020-09-20,13.79
Total Nacional,Porcentaje de población que sale del área,2020-09-16,21.81
Total Nacional,Porcentaje de población que sale del área,2020-09-13,14.47
Total Nacional,Porcentaje de población que sale del área,2020-09-09,21.35
Total Nacional,Porcentaje de población que sale del área,2020-06-09,14.24
Total Nacional,Porcentaje de población que sale del área,2020-02-09,19.87
Total Nacional,Porcentaje de población que sale del área,2020-08-30,13.33
Total Nacional,Porcentaje de población que sale del área,2020-08-26,18.99
Total Nacional,Porcentaje de población que sale del área,2020-08-23,11.54
Total Nacional,Porcentaje de población que sale del área,2020-08-19,18.65
Total Nacional,Porcentaje de población que sale del área,2020-08-16,13.44
Total Nacional,Porcentaje de población que sale del área,2020-12-08,18.55
Total Nacional,Porcentaje de población que sale del área,2020-09-08,13.96
Total Nacional,Porcentaje de población que sale del área,2020-05-08,19.05
Total Nacional,Porcentaje de población que sale del área,2020-02-08,13.8
Total Nacional,Porcentaje de población que sale del área,2020-07-29,20.59
Total Nacional,Porcentaje de población que sale del área,2020-07-26,14.55
Total Nacional,Porcentaje de población que sale del área,2020-07-22,20.96
Total Nacional,Porcentaje de población que sale del área,2020-07-19,14.98
Total Nacional,Porcentaje de población que sale del área,2020-07-15,22.16
Total Nacional,Porcentaje de población que sale del área,2020-12-07,15.13
Total Nacional,Porcentaje de población que sale del área,2020-08-07,21.57
Total Nacional,Porcentaje de población que sale del área,2020-05-07,15.82
Total Nacional,Porcentaje de población que sale del área,2020-01-07,22.1
Total Nacional,Porcentaje de población que sale del área,2020-06-28,15.44
Total Nacional,Porcentaje de población que sale del área,2020-06-24,19.44
Total Nacional,Porcentaje de población que sale del área,2020-06-20,18.06
Total Nacional,Porcentaje de población que sale del área,2020-06-19,20.63
Total Nacional,Porcentaje de población que sale del área,2020-06-18,20.44
Total Nacional,Porcentaje de población que sale del área,2020-06-17,20.21
Total Nacional,Porcentaje de población que sale del área,2020-06-16,19.98
Total Nacional,Porcentaje de población que sale del área,2020-06-15,19.33
Total Nacional,Porcentaje de población que sale del área,2020-06-14,14.73
Total Nacional,Porcentaje de población que sale del área,2020-06-13,16.96
Total Nacional,Porcentaje de población que sale del área,2020-12-06,18.66
Total Nacional,Porcentaje de población que sale del área,2020-11-06,19.57
Total Nacional,Porcentaje de población que sale del área,2020-10-06,19.83
Total Nacional,Porcentaje de población que sale del área,2020-09-06,17.16
Total Nacional,Porcentaje de población que sale del área,2020-08-06,17.37
Total Nacional,Porcentaje de población que sale del área,2020-07-06,12.77
Total Nacional,Porcentaje de población que sale del área,2020-06-06,16.25
Total Nacional,Porcentaje de población que sale del área,2020-05-06,18.9
Total Nacional,Porcentaje de población que sale del área,2020-04-06,18.41
Total Nacional,Porcentaje de población que sale del área,2020-03-06,18.65
Total Nacional,Porcentaje de población que sale del área,2020-02-06,18.62
Total Nacional,Porcentaje de población que sale del área,2020-01-06,17.12
Total Nacional,Porcentaje de población que sale del área,2020-05-31,12.56
Total Nacional,Porcentaje de población que sale del área,2020-05-30,15.37
Total Nacional,Porcentaje de población que sale del área,2020-05-29,18.18
Total Nacional,Porcentaje de población que sale del área,2020-05-28,18.3
Total Nacional,Porcentaje de población que sale del área,2020-05-27,18.08
Total Nacional,Porcentaje de población que sale del área,2020-05-26,17.7
Total Nacional,Porcentaje de población que sale del área,2020-05-25,16.88
Total Nacional,Porcentaje de población que sale del área,2020-05-24,10.61
Total Nacional,Porcentaje de población que sale del área,2020-05-23,12.74
Total Nacional,Porcentaje de población que sale del área,2020-05-22,16.31
Total Nacional,Porcentaje de población que sale del área,2020-05-21,16.34
Total Nacional,Porcentaje de población que sale del área,2020-05-20,16.29
Total Nacional,Porcentaje de población que sale del área,2020-05-19,16.2
Total Nacional,Porcentaje de población que sale del área,2020-05-18,15.2
Total Nacional,Porcentaje de población que sale del área,2020-05-17,8.64
Total Nacional,Porcentaje de población que sale del área,2020-05-16,10.61
Total Nacional,Porcentaje de población que sale del área,2020-05-15,13.88
Total Nacional,Porcentaje de población que sale del área,2020-05-14,14.7
Total Nacional,Porcentaje de población que sale del área,2020-05-13,14.98
Total Nacional,Porcentaje de población que sale del área,2020-12-05,15.11
Total Nacional,Porcentaje de población que sale del área,2020-11-05,14.05
Total Nacional,Porcentaje de población que sale del área,2020-10-05,6.82
Total Nacional,Porcentaje de población que sale del área,2020-09-05,7.73
Total Nacional,Porcentaje de población que sale del área,2020-08-05,13.75
Total Nacional,Porcentaje de población que sale del área,2020-07-05,13.62
Total Nacional,Porcentaje de población que sale del área,2020-06-05,13.67
Total Nacional,Porcentaje de población que sale del área,2020-05-05,13.94
Total Nacional,Porcentaje de población que sale del área,2020-04-05,13.14
Total Nacional,Porcentaje de población que sale del área,2020-03-05,7.33
Total Nacional,Porcentaje de población que sale del área,2020-02-05,7.87
Total Nacional,Porcentaje de población que sale del área,2020-01-05,7.35
Total Nacional,Porcentaje de población que sale del área,2020-04-30,12.01
Total Nacional,Porcentaje de población que sale del área,2020-04-29,11.87
Total Nacional,Porcentaje de población que sale del área,2020-04-28,11.62
Total Nacional,Porcentaje de población que sale del área,2020-04-27,10.85
Total Nacional,Porcentaje de población que sale del área,2020-04-26,5.73
Total Nacional,Porcentaje de población que sale del área,2020-04-25,7.48
Total Nacional,Porcentaje de población que sale del área,2020-04-24,11.13
Total Nacional,Porcentaje de población que sale del área,2020-04-23,10.75
Total Nacional,Porcentaje de población que sale del área,2020-04-22,11.48
Total Nacional,Porcentaje de población que sale del área,2020-04-21,11.02
Total Nacional,Porcentaje de población que sale del área,2020-04-20,10.57
Total Nacional,Porcentaje de población que sale del área,2020-04-19,5.68
Total Nacional,Porcentaje de población que sale del área,2020-04-18,7.61
Total Nacional,Porcentaje de población que sale del área,2020-04-17,11.09
Total Nacional,Porcentaje de población que sale del área,2020-04-16,11.68
Total Nacional,Porcentaje de población que sale del área,2020-04-15,10.84
Total Nacional,Porcentaje de población que sale del área,2020-04-14,10.76
Total Nacional,Porcentaje de población que sale del área,2020-04-13,8.58
Total Nacional,Porcentaje de población que sale del área,2020-12-04,5.74
Total Nacional,Porcentaje de población que sale del área,2020-11-04,7.0
Total Nacional,Porcentaje de población que sale del área,2020-10-04,6.13
Total Nacional,Porcentaje de población que sale del área,2020-09-04,7.66
Total Nacional,Porcentaje de población que sale del área,2020-08-04,9.65
Total Nacional,Porcentaje de población que sale del área,2020-07-04,9.63
Total Nacional,Porcentaje de población que sale del área,2020-06-04,9.07
Total Nacional,Porcentaje de población que sale del área,2020-05-04,5.65
Total Nacional,Porcentaje de población que sale del área,2020-04-04,7.1
Total Nacional,Porcentaje de población que sale del área,2020-03-04,9.63
Total Nacional,Porcentaje de población que sale del área,2020-02-04,8.98
Total Nacional,Porcentaje de población que sale del área,2020-01-04,8.84
Total Nacional,Porcentaje de población que sale del área,2020-03-31,9.03
Total Nacional,Porcentaje de población que sale del área,2020-03-30,9.42
Total Nacional,Porcentaje de población que sale del área,2020-03-28,7.64
Total Nacional,Porcentaje de población que sale del área,2020-03-26,11.2
Total Nacional,Porcentaje de población que sale del área,2020-03-24,11.23
Total Nacional,Porcentaje de población que sale del área,2020-03-22,5.75
Total Nacional,Porcentaje de población que sale del área,2020-03-20,11.28
Total Nacional,Porcentaje de población que sale del área,2020-03-18,12.15
Total Nacional,Porcentaje de población que sale del área,2020-03-16,13.28
Andalucía,Porcentaje de población que sale del área,2021-12-15,20.03
Andalucía,Porcentaje de población que sale del área,2021-12-12,13.02
Andalucía,Porcentaje de población que sale del área,2021-08-12,13.07
Andalucía,Porcentaje de población que sale del área,2021-01-12,19.95
Andalucía,Porcentaje de población que sale del área,2021-11-28,11.09
Andalucía,Porcentaje de población que sale del área,2021-11-24,19.51
Andalucía,Porcentaje de población que sale del área,2021-11-21,11.86
Andalucía,Porcentaje de población que sale del área,2021-11-17,19.73
Andalucía,Porcentaje de población que sale del área,2021-11-14,13.51
Andalucía,Porcentaje de población que sale del área,2021-10-11,19.67
Andalucía,Porcentaje de población que sale del área,2021-07-11,13.17
Andalucía,Porcentaje de población que sale del área,2021-03-11,13.46
Andalucía,Porcentaje de población que sale del área,2021-10-31,12.48
Andalucía,Porcentaje de población que sale del área,2021-10-27,19.49
Andalucía,Porcentaje de población que sale del área,2021-10-24,13.4
Andalucía,Porcentaje de población que sale del área,2021-10-20,19.48
Andalucía,Porcentaje de población que sale del área,2021-10-17,13.35
Andalucía,Porcentaje de población que sale del área,2021-10-13,16.77
Andalucía,Porcentaje de población que sale del área,2021-10-10,12.7
Andalucía,Porcentaje de población que sale del área,2021-06-10,20.11
Andalucía,Porcentaje de población que sale del área,2021-03-10,10.85
Andalucía,Porcentaje de población que sale del área,2021-09-29,19.85
Andalucía,Porcentaje de población que sale del área,2021-09-26,13.48
Andalucía,Porcentaje de población que sale del área,2021-09-22,18.6
Andalucía,Porcentaje de población que sale del área,2021-09-19,13.47
Andalucía,Porcentaje de población que sale del área,2021-09-15,18.37
Andalucía,Porcentaje de población que sale del área,2021-12-09,13.65
Andalucía,Porcentaje de población que sale del área,2021-08-09,17.46
Andalucía,Porcentaje de población que sale del área,2021-05-09,13.52
Andalucía,Porcentaje de población que sale del área,2021-01-09,18.17
Andalucía,Porcentaje de población que sale del área,2021-08-29,13.0
Andalucía,Porcentaje de población que sale del área,2021-08-25,16.86
Andalucía,Porcentaje de población que sale del área,2021-08-22,13.11
Andalucía,Porcentaje de población que sale del área,2021-08-18,16.86
Andalucía,Porcentaje de población que sale del área,2021-08-15,13.5
Andalucía,Porcentaje de población que sale del área,2021-11-08,17.09
Andalucía,Porcentaje de población que sale del área,2021-08-08,13.3
Andalucía,Porcentaje de población que sale del área,2021-04-08,17.28
Andalucía,Porcentaje de población que sale del área,2021-01-08,13.46
Andalucía,Porcentaje de población que sale del área,2021-07-28,17.92
Andalucía,Porcentaje de población que sale del área,2021-07-25,12.89
Andalucía,Porcentaje de población que sale del área,2021-07-21,18.03
Andalucía,Porcentaje de población que sale del área,2021-07-18,12.78
Andalucía,Porcentaje de población que sale del área,2021-07-14,18.53
Andalucía,Porcentaje de población que sale del área,2021-11-07,13.17
Andalucía,Porcentaje de población que sale del área,2021-07-07,18.62
Andalucía,Porcentaje de población que sale del área,2021-04-07,13.09
Andalucía,Porcentaje de población que sale del área,2021-06-30,19.15
Andalucía,Porcentaje de población que sale del área,2021-06-27,14.12
Andalucía,Porcentaje de población que sale del área,2021-06-23,13.05
Andalucía,Porcentaje de población que sale del área,2021-06-20,13.27
Andalucía,Porcentaje de población que sale del área,2021-06-16,19.42
Andalucía,Porcentaje de población que sale del área,2021-06-13,13.66
Andalucía,Porcentaje de población que sale del área,2021-09-06,19.68
Andalucía,Porcentaje de población que sale del área,2021-06-06,13.74
Andalucía,Porcentaje de población que sale del área,2021-02-06,19.73
Andalucía,Porcentaje de población que sale del área,2021-05-30,11.31
Andalucía,Porcentaje de población que sale del área,2021-05-26,17.7
Andalucía,Porcentaje de población que sale del área,2021-05-23,9.49
Andalucía,Porcentaje de población que sale del área,2021-05-19,19.82
Andalucía,Porcentaje de población que sale del área,2021-05-16,13.97
Andalucía,Porcentaje de población que sale del área,2021-12-05,17.75
Andalucía,Porcentaje de población que sale del área,2021-09-05,12.01
Andalucía,Porcentaje de población que sale del área,2021-05-05,19.46
Andalucía,Porcentaje de población que sale del área,2021-02-05,8.64
Andalucía,Porcentaje de población que sale del área,2021-04-28,17.98
Andalucía,Porcentaje de población que sale del área,2021-04-25,8.0
Andalucía,Porcentaje de población que sale del área,2021-04-21,17.52
Andalucía,Porcentaje de población que sale del área,2021-04-18,12.27
Andalucía,Porcentaje de población que sale del área,2021-04-14,18.99
Andalucía,Porcentaje de población que sale del área,2021-11-04,11.49
Andalucía,Porcentaje de población que sale del área,2021-07-04,19.37
Andalucía,Porcentaje de población que sale del área,2021-04-04,11.75
Andalucía,Porcentaje de población que sale del área,2021-03-31,17.67
Andalucía,Porcentaje de población que sale del área,2021-03-28,10.95
Andalucía,Porcentaje de población que sale del área,2021-03-24,19.31
Andalucía,Porcentaje de población que sale del área,2021-03-21,12.56
Andalucía,Porcentaje de población que sale del área,2021-03-17,19.42
Andalucía,Porcentaje de población que sale del área,2021-03-14,13.4
Andalucía,Porcentaje de población que sale del área,2021-10-03,18.65
Andalucía,Porcentaje de población que sale del área,2021-07-03,9.85
Andalucía,Porcentaje de población que sale del área,2021-03-03,18.43
Andalucía,Porcentaje de población que sale del área,2021-02-28,11.51
Andalucía,Porcentaje de población que sale del área,2021-02-24,17.7
Andalucía,Porcentaje de población que sale del área,2021-02-21,8.71
Andalucía,Porcentaje de población que sale del área,2021-02-17,17.69
Andalucía,Porcentaje de población que sale del área,2021-02-14,9.81
Andalucía,Porcentaje de población que sale del área,2021-10-02,15.92
Andalucía,Porcentaje de población que sale del área,2021-07-02,7.86
Andalucía,Porcentaje de población que sale del área,2021-03-02,16.85
Andalucía,Porcentaje de población que sale del área,2021-01-31,7.91
Andalucía,Porcentaje de población que sale del área,2021-01-27,16.42
Andalucía,Porcentaje de población que sale del área,2021-01-24,7.65
Andalucía,Porcentaje de población que sale del área,2021-01-20,16.12
Andalucía,Porcentaje de población que sale del área,2021-01-17,9.76
Andalucía,Porcentaje de población que sale del área,2021-01-13,14.68
Andalucía,Porcentaje de población que sale del área,2021-10-01,9.17
Andalucía,Porcentaje de población que sale del área,2021-06-01,10.53
Andalucía,Porcentaje de población que sale del área,2021-03-01,11.58
Andalucía,Porcentaje de población que sale del área,2020-12-30,17.19
Andalucía,Porcentaje de población que sale del área,2020-12-27,12.46
Andalucía,Porcentaje de población que sale del área,2020-12-23,18.22
Andalucía,Porcentaje de población que sale del área,2020-12-20,12.26
Andalucía,Porcentaje de población que sale del área,2020-12-16,18.32
Andalucía,Porcentaje de población que sale del área,2020-12-13,12.22
Andalucía,Porcentaje de población que sale del área,2020-09-12,17.42
Andalucía,Porcentaje de población que sale del área,2020-06-12,9.34
Andalucía,Porcentaje de población que sale del área,2020-02-12,17.59
Andalucía,Porcentaje de población que sale del área,2020-11-29,8.31
Andalucía,Porcentaje de población que sale del área,2020-11-25,16.69
Andalucía,Porcentaje de población que sale del área,2020-11-22,8.68
Andalucía,Porcentaje de población que sale del área,2020-11-18,16.74
Andalucía,Porcentaje de población que sale del área,2020-11-15,8.27
Andalucía,Porcentaje de población que sale del área,2020-11-11,16.59
Andalucía,Porcentaje de población que sale del área,2020-08-11,9.62
Andalucía,Porcentaje de población que sale del área,2020-04-11,17.04
Andalucía,Porcentaje de población que sale del área,2020-01-11,10.32
Andalucía,Porcentaje de población que sale del área,2020-10-28,18.13
Andalucía,Porcentaje de población que sale del área,2020-10-25,12.42
Andalucía,Porcentaje de población que sale del área,2020-10-21,18.0
Andalucía,Porcentaje de población que sale del área,2020-10-18,12.53
Andalucía,Porcentaje de población que sale del área,2020-10-14,19.06
Andalucía,Porcentaje de población que sale del área,2020-11-10,13.9
Andalucía,Porcentaje de población que sale del área,2020-07-10,19.12
Andalucía,Porcentaje de población que sale del área,2020-04-10,12.55
Andalucía,Porcentaje de población que sale del área,2020-09-30,16.55
Andalucía,Porcentaje de población que sale del área,2020-09-27,11.0
Andalucía,Porcentaje de población que sale del área,2020-09-23,18.43
Andalucía,Porcentaje de población que sale del área,2020-09-20,12.54
Andalucía,Porcentaje de población que sale del área,2020-09-16,19.33
Andalucía,Porcentaje de población que sale del área,2020-09-13,12.7
Andalucía,Porcentaje de población que sale del área,2020-09-09,19.12
Andalucía,Porcentaje de población que sale del área,2020-06-09,13.35
Andalucía,Porcentaje de población que sale del área,2020-02-09,18.35
Andalucía,Porcentaje de población que sale del área,2020-08-30,13.17
Andalucía,Porcentaje de población que sale del área,2020-08-26,17.81
Andalucía,Porcentaje de población que sale del área,2020-08-23,11.69
Andalucía,Porcentaje de población que sale del área,2020-08-19,17.63
Andalucía,Porcentaje de población que sale del área,2020-08-16,13.31
Andalucía,Porcentaje de población que sale del área,2020-12-08,18.1
Andalucía,Porcentaje de población que sale del área,2020-09-08,13.67
Andalucía,Porcentaje de población que sale del área,2020-05-08,16.06
Andalucía,Porcentaje de población que sale del área,2020-02-08,11.84
Andalucía,Porcentaje de población que sale del área,2020-07-29,16.94
Andalucía,Porcentaje de población que sale del área,2020-07-26,12.81
Andalucía,Porcentaje de población que sale del área,2020-07-22,18.39
Andalucía,Porcentaje de población que sale del área,2020-07-19,14.03
Andalucía,Porcentaje de población que sale del área,2020-07-15,19.91
Andalucía,Porcentaje de población que sale del área,2020-12-07,13.98
Andalucía,Porcentaje de población que sale del área,2020-08-07,19.3
Andalucía,Porcentaje de población que sale del área,2020-05-07,14.45
Andalucía,Porcentaje de población que sale del área,2020-01-07,20.06
Andalucía,Porcentaje de población que sale del área,2020-06-28,14.61
Andalucía,Porcentaje de población que sale del área,2020-06-24,19.64
Andalucía,Porcentaje de población que sale del área,2020-06-20,17.09
Andalucía,Porcentaje de población que sale del área,2020-06-19,19.15
Andalucía,Porcentaje de población que sale del área,2020-06-18,19.16
Andalucía,Porcentaje de población que sale del área,2020-06-17,18.95
Andalucía,Porcentaje de población que sale del área,2020-06-16,18.73
Andalucía,Porcentaje de población que sale del área,2020-06-15,18.33
Andalucía,Porcentaje de población que sale del área,2020-06-14,13.72
Andalucía,Porcentaje de población que sale del área,2020-06-13,16.3
Andalucía,Porcentaje de población que sale del área,2020-12-06,17.3
Andalucía,Porcentaje de población que sale del área,2020-11-06,18.06
Andalucía,Porcentaje de población que sale del área,2020-10-06,18.91
Andalucía,Porcentaje de población que sale del área,2020-09-06,16.51
Andalucía,Porcentaje de población que sale del área,2020-08-06,16.92
Andalucía,Porcentaje de población que sale del área,2020-07-06,12.64
Andalucía,Porcentaje de población que sale del área,2020-06-06,15.65
Andalucía,Porcentaje de población que sale del área,2020-05-06,17.65
Andalucía,Porcentaje de población que sale del área,2020-04-06,17.39
Andalucía,Porcentaje de población que sale del área,2020-03-06,17.55
Andalucía,Porcentaje de población que sale del área,2020-02-06,17.56
Andalucía,Porcentaje de población que sale del área,2020-01-06,16.56
Andalucía,Porcentaje de población que sale del área,2020-05-31,11.65
Andalucía,Porcentaje de población que sale del área,2020-05-30,14.56
Andalucía,Porcentaje de población que sale del área,2020-05-29,16.92
Andalucía,Porcentaje de población que sale del área,2020-05-28,16.9
Andalucía,Porcentaje de población que sale del área,2020-05-27,16.8
Andalucía,Porcentaje de población que sale del área,2020-05-26,16.53
Andalucía,Porcentaje de población que sale del área,2020-05-25,16.08
Andalucía,Porcentaje de población que sale del área,2020-05-24,11.11
Andalucía,Porcentaje de población que sale del área,2020-05-23,13.32
Andalucía,Porcentaje de población que sale del área,2020-05-22,15.79
Andalucía,Porcentaje de población que sale del área,2020-05-21,15.78
Andalucía,Porcentaje de población que sale del área,2020-05-20,15.75
Andalucía,Porcentaje de población que sale del área,2020-05-19,15.61
Andalucía,Porcentaje de población que sale del área,2020-05-18,14.76
Andalucía,Porcentaje de población que sale del área,2020-05-17,8.78
Andalucía,Porcentaje de población que sale del área,2020-05-16,10.66
Andalucía,Porcentaje de población que sale del área,2020-05-15,13.5
Andalucía,Porcentaje de población que sale del área,2020-05-14,13.37
Andalucía,Porcentaje de población que sale del área,2020-05-13,14.12
Andalucía,Porcentaje de población que sale del área,2020-12-05,13.65
Andalucía,Porcentaje de población que sale del área,2020-11-05,13.25
Andalucía,Porcentaje de población que sale del área,2020-10-05,6.43
Andalucía,Porcentaje de población que sale del área,2020-09-05,7.43
Andalucía,Porcentaje de población que sale del área,2020-08-05,12.79
